derived__memory_l1_wavefronts_shared_excessive,0 {21}
derived__memory_l2_theoretical_sectors_global_excessive [byte],0 {16}
derived__pct_occupancy_per_barrier_count,1209 {65}
derived__pct_occupancy_per_block_size [%],882 {65}
derived__pct_occupancy_per_register_count [%/register],5733 {257}
derived__pct_occupancy_per_shared_mem_size [%/Kbyte],7.19 {456}
derived__sm__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],528
derived__sm__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],33792
derived__smsp__inst_executed_op_branch_pct [%],0.07
derived__smsp__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],0
derived__smsp__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],909.89
derived_tempMetric0,11285055
derived_tempMetric1,170522642
device__attribute_architecture,384
device__attribute_async_engine_count,3
device__attribute_can_flush_remote_writes,0
device__attribute_can_map_host_memory,1
device__attribute_can_tex2d_gather,1
device__attribute_can_use_64_bit_stream_mem_ops,1
device__attribute_can_use_64_bit_stream_mem_ops_v1,1
device__attribute_can_use_host_pointer_for_registered_mem,1
device__attribute_can_use_stream_mem_ops_v1,1
device__attribute_can_use_stream_wait_value_nor,1
device__attribute_can_use_stream_wait_value_nor_v1,1
device__attribute_chip,384
device__attribute_clock_rate,1980000
device__attribute_cluster_launch,1
device__attribute_compute_capability_major,9
device__attribute_compute_capability_minor,0
device__attribute_compute_mode,0
device__attribute_compute_preemption_supported,1
device__attribute_concurrent_kernels,1
device__attribute_concurrent_managed_access,1
device__attribute_confidential_computing_mode,No-CC
device__attribute_cooperative_launch,1
device__attribute_cooperative_multi_device_launch,1
device__attribute_deferred_mapping_cuda_array_supported,1
device__attribute_device_index,0
device__attribute_direct_managed_mem_access_from_host,0
device__attribute_display_name,NVIDIA H800
device__attribute_dma_buf_supported,0
device__attribute_ecc_enabled,1
device__attribute_fb_bus_width,5120
device__attribute_fbp_count,12
device__attribute_generic_compression_supported,1
device__attribute_global_l1_cache_supported,1
device__attribute_global_memory_bus_width,5120
device__attribute_gpu_direct_rdma_flush_writes_options,1
device__attribute_gpu_direct_rdma_supported,1
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,1
device__attribute_gpu_direct_rdma_writes_ordering,100
device__attribute_gpu_overlap,1
device__attribute_gpu_pci_device_id,589566174
device__attribute_gpu_pci_ext_device_id,8996
device__attribute_gpu_pci_ext_downstream_link_rate,32000
device__attribute_gpu_pci_ext_downstream_link_width,16
device__attribute_gpu_pci_ext_gen,4
device__attribute_gpu_pci_ext_gpu_gen,4
device__attribute_gpu_pci_ext_gpu_link_rate,32000
device__attribute_gpu_pci_ext_gpu_link_width,16
device__attribute_gpu_pci_revision_id,161
device__attribute_gpu_pci_sub_system_id,396759262
device__attribute_handle_type_fabric_supported,0
device__attribute_handle_type_posix_file_descriptor_supported,1
device__attribute_handle_type_win32_handle_supported,0
device__attribute_handle_type_win32_kmt_handle_supported,0
device__attribute_host_native_atomic_supported,0
device__attribute_host_numa_id,0
device__attribute_host_register_supported,1
device__attribute_implementation,384
device__attribute_integrated,0
device__attribute_ipc_event_supported,1
device__attribute_kernel_exec_timeout,0
device__attribute_l2_cache_size,52428800
device__attribute_l2s_count,96
device__attribute_limits_max_cta_per_sm,32
device__attribute_limits_num_tpcs,66
device__attribute_local_l1_cache_supported,1
device__attribute_managed_memory,1
device__attribute_max_access_policy_window_size,134217728
device__attribute_max_block_dim_x,1024
device__attribute_max_block_dim_y,1024
device__attribute_max_block_dim_z,64
device__attribute_max_blocks_per_multiprocessor,32
device__attribute_max_gpu_frequency_khz,1980000
device__attribute_max_grid_dim_x,2147483647
device__attribute_max_grid_dim_y,65535
device__attribute_max_grid_dim_z,65535
device__attribute_max_ipc_per_multiprocessor,4
device__attribute_max_ipc_per_scheduler,1
device__attribute_max_mem_frequency_khz,2619000
device__attribute_max_persisting_l2_cache_size,32768000
device__attribute_max_pitch,2147483647
device__attribute_max_registers_per_block,65536
device__attribute_max_registers_per_multiprocessor,65536
device__attribute_max_registers_per_thread,255
device__attribute_max_shared_memory_per_block,49152
device__attribute_max_shared_memory_per_block_optin,232448
device__attribute_max_shared_memory_per_multiprocessor,233472
device__attribute_max_threads_per_block,1024
device__attribute_max_threads_per_multiprocessor,2048
device__attribute_max_warps_per_multiprocessor,64
device__attribute_max_warps_per_scheduler,16
device__attribute_maximum_surface1d_layered_layers,2048
device__attribute_maximum_surface1d_layered_width,32768
device__attribute_maximum_surface1d_width,32768
device__attribute_maximum_surface2d_height,65536
device__attribute_maximum_surface2d_layered_height,32768
device__attribute_maximum_surface2d_layered_layers,2048
device__attribute_maximum_surface2d_layered_width,32768
device__attribute_maximum_surface2d_width,131072
device__attribute_maximum_surface3d_depth,16384
device__attribute_maximum_surface3d_height,16384
device__attribute_maximum_surface3d_width,16384
device__attribute_maximum_surfacecubemap_layered_layers,2046
device__attribute_maximum_surfacecubemap_layered_width,32768
device__attribute_maximum_surfacecubemap_width,32768
device__attribute_maximum_texture1d_layered_layers,2048
device__attribute_maximum_texture1d_layered_width,32768
device__attribute_maximum_texture1d_linear_width,268435456
device__attribute_maximum_texture1d_mipmapped_width,32768
device__attribute_maximum_texture1d_width,131072
device__attribute_maximum_texture2d_gather_height,32768
device__attribute_maximum_texture2d_gather_width,32768
device__attribute_maximum_texture2d_height,65536
device__attribute_maximum_texture2d_layered_height,32768
device__attribute_maximum_texture2d_layered_layers,2048
device__attribute_maximum_texture2d_layered_width,32768
device__attribute_maximum_texture2d_linear_height,65000
device__attribute_maximum_texture2d_linear_pitch,2097120
device__attribute_maximum_texture2d_linear_width,131072
device__attribute_maximum_texture2d_mipmapped_height,32768
device__attribute_maximum_texture2d_mipmapped_width,32768
device__attribute_maximum_texture2d_width,131072
device__attribute_maximum_texture3d_depth,16384
device__attribute_maximum_texture3d_depth_alternate,32768
device__attribute_maximum_texture3d_height,16384
device__attribute_maximum_texture3d_height_alternate,8192
device__attribute_maximum_texture3d_width,16384
device__attribute_maximum_texture3d_width_alternate,8192
device__attribute_maximum_texturecubemap_layered_layers,2046
device__attribute_maximum_texturecubemap_layered_width,32768
device__attribute_maximum_texturecubemap_width,32768
device__attribute_mem_sync_domain_count,4
device__attribute_memory_clock_rate,2619000
device__attribute_memory_pools_supported,1
device__attribute_mempool_supported_handle_types,1
device__attribute_mps_enabled,0
device__attribute_multi_gpu_board,0
device__attribute_multi_gpu_board_group_id,0
device__attribute_multicast_supported,1
device__attribute_multiprocessor_count,132
device__attribute_num_l2s_per_fbp,8
device__attribute_num_schedulers_per_multiprocessor,4
device__attribute_num_tex_per_multiprocessor,1
device__attribute_numa_config,0
device__attribute_pageable_memory_access,0
device__attribute_pageable_memory_access_uses_host_page_tables,0
device__attribute_pci_bus_id,15
device__attribute_pci_device_id,0
device__attribute_pci_domain_id,0
device__attribute_ram_location,1
device__attribute_ram_type,0
device__attribute_reserved_shared_memory_per_block,1024
device__attribute_sass_level,9
device__attribute_single_to_double_precision_perf_ratio,64
device__attribute_sparse_cuda_array_supported,1
device__attribute_stream_priorities_supported,1
device__attribute_surface_alignment,512
device__attribute_tcc_driver,0
device__attribute_tensor_map_access_supported,1
device__attribute_texture_alignment,512
device__attribute_texture_pitch_alignment,32
device__attribute_total_constant_memory,65536
device__attribute_total_memory,84942979072
device__attribute_unified_addressing,1
device__attribute_unified_function_pointers,1
device__attribute_virtual_address_management_supported,1
device__attribute_warp_size,32
dram__bytes.avg.peak_sustained [byte/cycle],32
dram__bytes.avg.per_second [Gbyte/s],71.73
dram__bytes.max.peak_sustained [byte/cycle],32
dram__bytes.max.per_second [Gbyte/s],71.74
dram__bytes.min.peak_sustained [byte/cycle],32
dram__bytes.min.per_second [Gbyte/s],71.71
dram__bytes.sum.peak_sustained [Kbyte/cycle],1.28
dram__bytes.sum.per_second [Tbyte/s],2.87
dram__bytes_read.sum [Gbyte],1.07
dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],43.18
dram__bytes_read.sum.per_second [Tbyte/s],1.45
dram__bytes_write.sum [Gbyte],1.05
dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],42.41
dram__bytes_write.sum.per_second [Tbyte/s],1.42
dram__cycles_active.avg.pct_of_peak_sustained_elapsed [%],85.59
dram__cycles_active.max.pct_of_peak_sustained_elapsed [%],85.61
dram__cycles_active.min.pct_of_peak_sustained_elapsed [%],85.57
dram__cycles_active.sum.pct_of_peak_sustained_elapsed [%],85.59
dram__cycles_elapsed.avg.per_second [Ghz],2.62
dram__cycles_elapsed.max.per_second [Ghz],2.62
dram__cycles_elapsed.min.per_second [Ghz],2.62
dram__cycles_elapsed.sum.per_second [Ghz],104.75
dram__sectors_read.sum [sector],33555080
dram__sectors_write.sum [sector],32957968
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed [%],65.61
fbpa__dram_sectors.max.pct_of_peak_sustained_elapsed [%],65.62
fbpa__dram_sectors.min.pct_of_peak_sustained_elapsed [%],65.60
fbpa__dram_sectors.sum.pct_of_peak_sustained_elapsed [%],65.61
gcc__average_cache_request_hit_rate.pct [%],93.48
gcc__cache_requests_type_constant.sum,924
gcc__cache_requests_type_constant.sum.pct_of_peak_sustained_elapsed [%],0.02
gcc__cache_requests_type_instruction.sum,7722
gcc__cache_requests_type_instruction.sum.pct_of_peak_sustained_elapsed [%],0.16
gcc__xbar2gcc_sectors.sum,4480
gcc__xbar2gcc_sectors.sum.pct_of_peak_sustained_elapsed [%],0.05
gpc__cycles_elapsed.avg [cycle],1177447.25
gpc__cycles_elapsed.avg.per_second [Ghz],1.59
gpc__cycles_elapsed.max.per_second [Ghz],1.59
gpc__cycles_elapsed.min [cycle],1176195
gpc__cycles_elapsed.min.per_second [Ghz],1.59
gpc__cycles_elapsed.sum [cycle],9419578
gpc__cycles_elapsed.sum.per_second [Ghz],12.70
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed [%],45.37
gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed [%],45.39
gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed [%],45.34
gpu__compute_memory_access_throughput.sum.pct_of_peak_sustained_elapsed [%],45.37
gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed [%],33.46
gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed [%],33.60
gpu__compute_memory_access_throughput_internal_activity.min.pct_of_peak_sustained_elapsed [%],33.24
gpu__compute_memory_access_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed [%],33.46
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed [%],85.59
gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed [%],85.61
gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed [%],85.57
gpu__compute_memory_request_throughput.sum.pct_of_peak_sustained_elapsed [%],85.59
gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed [%],0
